imagem,grupo_0_percentual,grupo_1_percentual,grupo_2_percentual,grupo_3_percentual,grupo_4_percentual
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_1_col.png,44.7803,0.0,10.2959,9.6657,35.2581
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_2_col.png,35.9512,0.0,45.8405,6.7993,11.409
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_3_col.png,38.5906,0.0702,40.4148,1.4,19.5244
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_4_col.png,21.9086,1.8658,60.2837,4.7955,11.1465
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_5_col.png,19.416,0.4807,65.0028,5.5412,9.5592
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_6_col.png,21.5813,1.6678,63.8123,1.0571,11.8816
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_7_col.png,50.8148,0.0,25.565,6.2244,17.3958
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_8_col.png,57.2994,0.0,17.712,8.704,16.2846
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_1_im_9_col.png,34.5089,0.0,51.1192,3.2024,11.1694
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_1_col.png,18.9629,14.7968,4.0966,41.7881,20.3556
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_2_col.png,31.9515,4.8615,21.3234,20.1801,21.6835
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_3_col.png,35.7113,3.0342,23.3372,0.3151,37.6022
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_4_col.png,35.474,2.9419,29.0749,14.2952,18.214
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_5_col.png,29.1866,1.3332,48.8094,5.8422,14.8285
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_6_col.png,29.5616,1.7799,40.2069,6.2626,22.1889
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_7_col.png,34.7862,6.2233,12.2532,24.6983,22.039
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_8_col.png,25.3334,14.6255,0.7854,39.0408,20.2148
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_2_im_9_col.png,28.8738,2.417,32.9002,9.1614,26.6476
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_1_col.png,13.3026,32.8377,0.7069,39.8689,13.2839
